Fecha;Plato;Ventas;Pedidos_Cancelados;Costo_Promedio;Likes_Redes
2025-01-01 00:00:00;Bandeja Paisa;42;0;8811;99
2025-01-01 00:00:00;Tamales;36;5;12986;67
2025-01-01 00:00:00;Sancocho;28;5;8580;45
2025-01-01 00:00:00;Arepa con Queso;28;0;12500;8
2025-01-02 00:00:00;Bandeja Paisa;33;5;8764;74
2025-01-02 00:00:00;Tamales;22;5;12267;70
2025-01-02 00:00:00;Sancocho;33;3;13892;41
2025-01-02 00:00:00;Arepa con Queso;37;2;9246;72
2025-01-03 00:00:00;Bandeja Paisa;45;1;10096;39
2025-01-03 00:00:00;Tamales;18;2;14589;52
2025-01-03 00:00:00;Sancocho;14;4;8887;76
2025-01-03 00:00:00;Arepa con Queso;50;5;9993;36
2025-01-04 00:00:00;Bandeja Paisa;19;2;13386;62
2025-01-04 00:00:00;Tamales;36;1;8339;59
2025-01-04 00:00:00;Sancocho;47;4;13920;29
2025-01-04 00:00:00;Arepa con Queso;45;2;11718;47
2025-01-05 00:00:00;Bandeja Paisa;18;3;8691;89
2025-01-05 00:00:00;Tamales;24;2;11477;60
2025-01-05 00:00:00;Sancocho;27;0;11492;12
2025-01-05 00:00:00;Arepa con Queso;42;4;10432;43
2025-01-06 00:00:00;Bandeja Paisa;43;1;9969;89
2025-01-06 00:00:00;Tamales;31;5;14051;53
2025-01-06 00:00:00;Sancocho;22;3;12775;70
2025-01-06 00:00:00;Arepa con Queso;33;5;14231;35
2025-01-07 00:00:00;Bandeja Paisa;36;3;12291;4
2025-01-07 00:00:00;Tamales;37;0;11427;61
2025-01-07 00:00:00;Sancocho;30;0;8790;62
2025-01-07 00:00:00;Arepa con Queso;29;5;9704;9
2025-01-08 00:00:00;Bandeja Paisa;20;0;13009;31
2025-01-08 00:00:00;Tamales;50;2;10879;25
2025-01-08 00:00:00;Sancocho;42;0;12494;19
2025-01-08 00:00:00;Arepa con Queso;38;1;12293;12
2025-01-09 00:00:00;Bandeja Paisa;46;5;9125;97
2025-01-09 00:00:00;Tamales;32;1;8605;38
2025-01-09 00:00:00;Sancocho;34;2;11640;28
2025-01-09 00:00:00;Arepa con Queso;16;5;9758;44
2025-01-10 00:00:00;Bandeja Paisa;11;2;11639;79
2025-01-10 00:00:00;Tamales;23;2;12898;46
2025-01-10 00:00:00;Sancocho;44;2;14337;18
2025-01-10 00:00:00;Arepa con Queso;19;1;14320;35
2025-01-11 00:00:00;Bandeja Paisa;35;2;13441;41
2025-01-11 00:00:00;Tamales;19;5;13347;10
2025-01-11 00:00:00;Sancocho;17;2;11414;97
2025-01-11 00:00:00;Arepa con Queso;28;2;9554;54
2025-01-12 00:00:00;Bandeja Paisa;27;0;11756;35
2025-01-12 00:00:00;Tamales;29;4;8776;21
2025-01-12 00:00:00;Sancocho;34;5;10117;100
