VentaID,ClienteID,ProductoID,Cantidad,Fecha,Monto
1,16,10,9,2024-04-16,999
2,2,4,4,2024-06-14,696
3,11,5,4,2024-08-07,1568
4,1,9,6,2024-01-06,300
5,16,10,6,2024-09-07,666
6,13,8,2,2024-07-07,994
7,18,3,3,2024-08-07,714
8,19,1,3,2024-02-08,852
9,8,9,7,2024-08-27,350
10,19,2,8,2024-07-15,544
11,17,6,1,2024-01-24,414
12,9,8,7,2024-10-19,3479
13,9,1,7,2024-04-13,1988
14,20,10,10,2024-06-04,1110
15,15,9,5,2024-04-05,250
16,8,6,4,2024-01-02,1656
17,15,9,9,2024-09-08,450
18,17,7,7,2024-06-02,2520
19,8,8,3,2024-01-02,1491
20,15,3,2,2024-05-23,476
21,8,6,9,2024-09-18,3726
22,17,3,8,2024-02-03,1904
23,6,3,6,2024-07-13,1428
24,19,1,1,2024-10-15,284
25,18,3,4,2024-01-24,952
26,3,1,6,2024-04-05,1704
27,16,3,1,2024-06-29,238
28,19,1,3,2024-09-11,852
29,6,9,4,2024-06-14,200
30,19,7,10,2024-01-11,3600
31,16,1,5,2024-09-20,1420
32,4,6,6,2024-05-17,2484
33,6,5,6,2024-04-13,2352
34,2,8,10,2024-03-05,4970
35,9,8,9,2024-01-02,4473
36,14,9,4,2024-07-15,200
37,11,10,5,2024-10-08,555
38,16,4,3,2024-08-14,522
39,11,3,5,2024-03-11,1190
40,4,1,3,2024-08-22,852
41,17,7,3,2024-08-01,1080
42,6,6,4,2024-07-27,1656
43,15,2,2,2024-08-19,136
44,16,7,2,2024-06-23,720
45,2,8,10,2024-08-30,4970
46,5,7,7,2024-05-21,2520
47,10,5,2,2024-09-12,784
48,18,2,2,2024-05-06,136
49,2,7,6,2024-02-05,2160
50,16,9,3,2024-08-16,150
51,10,2,1,2024-06-17,68
52,13,5,2,2024-02-28,784
53,9,6,9,2024-01-13,3726
54,16,6,8,2024-05-15,3312
55,14,10,8,2024-06-23,888
56,11,7,3,2024-07-25,1080
57,7,8,6,2024-10-07,2982
58,4,3,5,2024-10-14,1190
59,15,5,8,2024-02-16,3136
60,6,9,10,2024-07-07,500
61,18,9,8,2024-02-13,400
62,5,4,6,2024-03-15,1044
63,8,10,9,2024-04-26,999
64,8,2,1,2024-01-26,68
65,9,10,2,2024-07-25,222
66,8,6,8,2024-05-11,3312
67,4,10,7,2024-07-08,777
68,5,7,9,2024-07-16,3240
69,11,7,10,2024-07-23,3600
70,2,5,1,2024-10-22,392
71,10,8,2,2024-01-28,994
72,10,10,3,2024-06-02,333
73,14,9,7,2024-05-14,350
74,15,4,9,2024-01-07,1566
75,1,3,7,2024-09-01,1666
76,4,6,3,2024-02-25,1242
77,15,10,4,2024-10-08,444
78,18,6,5,2024-09-05,2070
79,11,1,2,2024-08-28,568
80,1,4,3,2024-06-14,522
81,14,5,1,2024-09-13,392
82,19,10,3,2024-01-29,333
83,8,9,1,2024-01-18,50
84,17,3,1,2024-04-06,238
85,19,6,8,2024-07-24,3312
86,20,7,1,2024-03-31,360
87,10,9,6,2024-04-28,300
88,18,5,4,2024-05-05,1568
89,5,6,1,2024-02-08,414
90,1,2,5,2024-07-19,340
91,11,9,3,2024-10-27,150
92,19,6,9,2024-04-02,3726
93,11,2,9,2024-09-12,612
94,7,3,8,2024-10-23,1904
95,14,6,3,2024-02-24,1242
96,14,10,9,2024-02-23,999
97,15,6,7,2024-10-09,2898
98,17,1,10,2024-01-08,2840
99,17,9,3,2024-05-07,150
100,14,10,2,2024-08-14,222
