date,sales
2022-01-01,137
2022-01-02,147
2022-01-03,135
2022-01-04,147
2022-01-05,155
2022-01-06,139
2022-01-07,154
2022-01-08,157
2022-01-09,167
2022-01-10,150
2022-01-11,165
2022-01-12,151
2022-01-13,170
2022-01-14,162
2022-01-15,169
2022-01-16,166
2022-01-17,183
2022-01-18,161
2022-01-19,178
2022-01-20,175
2022-01-21,187
2022-01-22,177
2022-01-23,190
2022-01-24,180
2022-01-25,196
2022-01-26,192
2022-01-27,198
2022-01-28,191
2022-01-29,202
2022-01-30,193
2022-01-31,207
2022-02-01,205
2022-02-02,212
2022-02-03,206
2022-02-04,219
2022-02-05,211
2022-02-06,224
2022-02-07,222
2022-02-08,235
2022-02-09,223
2022-02-10,239
2022-02-11,232
2022-02-12,245
2022-02-13,240
2022-02-14,252
2022-02-15,244
2022-02-16,257
2022-02-17,249
2022-02-18,263
2022-02-19,261
2022-02-20,274
2022-02-21,270
2022-02-22,279
2022-02-23,275
2022-02-24,287
2022-02-25,285
2022-02-26,292
2022-02-27,289
2022-02-28,298
2022-03-01,297
2022-03-02,306
2022-03-03,305
2022-03-04,312
2022-03-05,311
2022-03-06,323
2022-03-07,319
2022-03-08,330
2022-03-09,328
2022-03-10,339
2022-03-11,336
2022-03-12,345
2022-03-13,344
2022-03-14,353
2022-03-15,350
2022-03-16,360
2022-03-17,357
2022-03-18,369
2022-03-19,362
2022-03-20,374
2022-03-21,373
2022-03-22,382
2022-03-23,380
2022-03-24,391
2022-03-25,387
2022-03-26,398
2022-03-27,395
2022-03-28,406
2022-03-29,403
2022-03-30,414
2022-03-31,410
2022-04-01,420
2022-04-02,417
2022-04-03,429
2022-04-04,425
2022-04-05,435
2022-04-06,433
2022-04-07,445
2022-04-08,440
2022-04-09,453
2022-04-10,448
2022-04-11,460
2022-04-12,457
2022-04-13,469
2022-04-14,465
2022-04-15,478
2022-04-16,472
2022-04-17,483
2022-04-18,480
2022-04-19,491
2022-04-20,488
2022-04-21,499
2022-04-22,496
2022-04-23,508
2022-04-24,503
2022-04-25,515
2022-04-26,510
2022-04-27,523
2022-04-28,518
2022-04-29,530
2022-04-30,525
2022-05-01,537
